id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1237590856296574977,1237590856296574977,2020-03-11 12:07:08 +08,2020-03-11,12:07:08,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Hair color : Cotton candy pick  Length : Medium  Style : Bob Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Done by…  https://t.co/Fnsfq9Lddq,en,"[{'screen_name': 'milbon', 'name': 'milbon preston', 'id': '37896235'}, {'screen_name': 'olaplex', 'name': 'olaplex', 'id': '2225822354'}, {'screen_name': 'kglossofficial', 'name': 'k-gloss', 'id': '3561788775'}, {'screen_name': 'dyson', 'name': 'dyson', 'id': '1410302630'}, {'screen_name': 'pravana', 'name': 'pravana anil', 'id': '1673553386'}, {'screen_name': 'the134crew', 'name': 'takuya', 'id': '2321908945'}]",['https://www.instagram.com/p/B9lFBXtHeUr/?igshid=m2v9ot1watuw'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1237590856296574977,False,,0,,Singapore,,,,,,[],,,,
1235833353347018754,1235833353347018754,2020-03-06 15:43:26 +08,2020-03-06,15:43:26,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Hair color : Ash blonde  Length : Medium  Style : Medium Bob  Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Done by…  https://t.co/mo09CivqcN,en,"[{'screen_name': 'milbon', 'name': 'milbon preston', 'id': '37896235'}, {'screen_name': 'olaplex', 'name': 'olaplex', 'id': '2225822354'}, {'screen_name': 'kglossofficial', 'name': 'k-gloss', 'id': '3561788775'}, {'screen_name': 'dyson', 'name': 'dyson', 'id': '1410302630'}, {'screen_name': 'pravana', 'name': 'pravana anil', 'id': '1673553386'}, {'screen_name': 'the134crew', 'name': 'takuya', 'id': '2321908945'}]",['https://www.instagram.com/p/B9YlzTXnq89/?igshid=qvnyuyhrwd0a'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1235833353347018754,False,,0,,Singapore,,,,,,[],,,,
1235149960909225984,1235077434308849664,2020-03-04 18:27:53 +08,2020-03-04,18:27:53,+0800,1719416120,natalieann_chin,Natalie Ann❤️,,Activity 4: Went to the hair salon for a W/B sesh + collected my #DisneyOnIce tickets!! 🎉🎉🎉 overall it was a great afternoon off work! Would have done more if it didnt suddenly rain 😔  https://t.co/WOqdyiBLaE,en,[],[],['https://pbs.twimg.com/media/ESQiVd1VAAANKfN.jpg'],1,0,0,['disneyonice'],[],https://twitter.com/natalieann_chin/status/1235149960909225984,False,,1,https://pbs.twimg.com/media/ESQiVd1VAAANKfN.jpg,Singapore,,,,,,[],,,,
1235145758174834688,1235145758174834688,2020-03-04 18:11:11 +08,2020-03-04,18:11:11,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Hair color : Chocolate Brown  Length : Long Style : Long layered  Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Hair…  https://t.co/VFQLdpi3lr,en,"[{'screen_name': 'milbon', 'name': 'milbon preston', 'id': '37896235'}, {'screen_name': 'olaplex', 'name': 'olaplex', 'id': '2225822354'}, {'screen_name': 'kglossofficial', 'name': 'k-gloss', 'id': '3561788775'}, {'screen_name': 'dyson', 'name': 'dyson', 'id': '1410302630'}, {'screen_name': 'pravana', 'name': 'pravana anil', 'id': '1673553386'}, {'screen_name': 'the134crew', 'name': 'takuya', 'id': '2321908945'}]",['https://www.instagram.com/p/B9TtHw-naYu/?igshid=1v0rixnn2otmi'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1235145758174834688,False,,0,,Singapore,,,,,,[],,,,
1234726979888394241,1234726979888394241,2020-03-03 14:27:06 +08,2020-03-03,14:27:06,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Hair color : Moody ash Length : Short  Style : Bob  Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Done by Takuya…  https://t.co/SbwLSAa4XU,en,"[{'screen_name': 'milbon', 'name': 'milbon preston', 'id': '37896235'}, {'screen_name': 'olaplex', 'name': 'olaplex', 'id': '2225822354'}, {'screen_name': 'kglossofficial', 'name': 'k-gloss', 'id': '3561788775'}, {'screen_name': 'dyson', 'name': 'dyson', 'id': '1410302630'}, {'screen_name': 'pravana', 'name': 'pravana anil', 'id': '1673553386'}, {'screen_name': 'the134crew', 'name': 'takuya', 'id': '2321908945'}]",['https://www.instagram.com/p/B9Qurj5nuXT/?igshid=e783j6bjo6ih'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1234726979888394241,False,,0,,Singapore,,,,,,[],,,,
1234086180490080266,1234086180490080266,2020-03-01 20:00:48 +08,2020-03-01,20:00:48,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Hair color : k-rose Length :Medium  Style : Babybob  Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Done by Takuya…  https://t.co/speNqJCLHC,en,"[{'screen_name': 'milbon', 'name': 'milbon preston', 'id': '37896235'}, {'screen_name': 'olaplex', 'name': 'olaplex', 'id': '2225822354'}, {'screen_name': 'kglossofficial', 'name': 'k-gloss', 'id': '3561788775'}, {'screen_name': 'dyson', 'name': 'dyson', 'id': '1410302630'}, {'screen_name': 'pravana', 'name': 'pravana anil', 'id': '1673553386'}, {'screen_name': 'the134crew', 'name': 'takuya', 'id': '2321908945'}]",['https://www.instagram.com/p/B9MLR-pH9Oq/?igshid=1mkqf85nec9ex'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1234086180490080266,False,,0,,Singapore,,,,,,[],,,,
1230500437792444416,1230500437792444416,2020-02-20 22:32:20 +08,2020-02-20,22:32:20,+0800,113347984,teejayanu,ಅನುNotAny,,Looking for a #hairsalon in #Singapore that would do this exact same #balayage  HMU  #sg #loreal #lorealsingapore #lorealsg  #haircolor #sghairstylist #singaporehair  https://t.co/A6SCncjtuO,en,[],[],['https://pbs.twimg.com/media/EROdnpOVAAIC8_N.jpg'],0,0,0,"['hairsalon', 'singapore', 'balayage', 'sg', 'loreal', 'lorealsingapore', 'lorealsg', 'haircolor', 'sghairstylist', 'singaporehair']",[],https://twitter.com/teejayanu/status/1230500437792444416,False,,1,https://pbs.twimg.com/media/EROdnpOVAAIC8_N.jpg,Singapore,,,,,,[],,,,
1230070524966866944,1229821919949537280,2020-02-19 18:04:01 +08,2020-02-19,18:04:01,+0800,472830324,hafanzeee,0.5 K. ฮาฟ,,@coupdelecrivain @Yshudaitelya To a ratchet hairsalon.,en,[],[],[],0,2,27,[],[],https://twitter.com/hafanzeee/status/1230070524966866944,False,,0,,Singapore,,,,,,"[{'screen_name': 'coupdelecrivain', 'name': 'Alt + Del', 'id': '1047515410805866498'}, {'screen_name': 'Yshudaitelya', 'name': 'the gongoozler', 'id': '452394523'}]",,,,
1229617148596805633,1229617148596805633,2020-02-18 12:02:28 +08,2020-02-18,12:02:28,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Hair color : Pink / Rose gold  Length : Medium  Style : Babylights  Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON…  https://t.co/Hbn3Y6sZOW,en,"[{'screen_name': 'milbon', 'name': 'milbon preston', 'id': '37896235'}, {'screen_name': 'olaplex', 'name': 'olaplex', 'id': '2225822354'}, {'screen_name': 'kglossofficial', 'name': 'k-gloss', 'id': '3561788775'}, {'screen_name': 'dyson', 'name': 'dyson', 'id': '1410302630'}, {'screen_name': 'pravana', 'name': 'pravana anil', 'id': '1673553386'}]",['https://www.instagram.com/p/B8sbABeH2CA/?igshid=y3e15qgw9j09'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1229617148596805633,False,,0,,Singapore,,,,,,[],,,,
1227814145363410950,1227814145363410950,2020-02-13 12:37:58 +08,2020-02-13,12:37:58,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Hair color : Jet black Length : Long Style : Long layered  Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON (@the134crew) Hair done…  https://t.co/6l79KDiu7v,en,"[{'screen_name': 'milbon', 'name': 'milbon preston', 'id': '37896235'}, {'screen_name': 'olaplex', 'name': 'olaplex', 'id': '2225822354'}, {'screen_name': 'kglossofficial', 'name': 'k-gloss', 'id': '3561788775'}, {'screen_name': 'dyson', 'name': 'dyson', 'id': '1410302630'}, {'screen_name': 'pravana', 'name': 'pravana anil', 'id': '1673553386'}, {'screen_name': 'the134crew', 'name': 'takuya', 'id': '2321908945'}]",['https://www.instagram.com/p/B8fnFo5HXE0/?igshid=13lx6etj46jx6'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1227814145363410950,False,,0,,Singapore,,,,,,[],,,,
1226821372170637312,1226821372170637312,2020-02-10 18:53:03 +08,2020-02-10,18:53:03,+0800,2321908945,the134crew,TAKUYA,"{'type': 'Point', 'coordinates': [1.30705, 103.89573]}",Hair color : Carmel brown  Length : Medium  Style : Digital perm / Natural C-curl Our brands : @milbon.corporate @olaplex @kglossofficial mucotaoriginal @Dyson @pravana  ——————————————— MUSUBI BOUTIQUE HAIR SALON…  https://t.co/nxLtHHX0b6,en,"[{'screen_name': 'milbon', 'name': 'milbon preston', 'id': '37896235'}, {'screen_name': 'olaplex', 'name': 'olaplex', 'id': '2225822354'}, {'screen_name': 'kglossofficial', 'name': 'k-gloss', 'id': '3561788775'}, {'screen_name': 'dyson', 'name': 'dyson', 'id': '1410302630'}, {'screen_name': 'pravana', 'name': 'pravana anil', 'id': '1673553386'}]",['https://www.instagram.com/p/B8YjoIhnWt2/?igshid=itrswr7j041d'],[],0,0,0,[],[],https://twitter.com/the134crew/status/1226821372170637312,False,,0,,Singapore,,,,,,[],,,,
