Unnamed: 0,Unnamed: 0.1,Post Description,Post Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
1250,1601,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,8 is laughable. But 50+for a wedding okay lah. Makes no sense!,2020-10-20 15:16:47+00:00,11,Social Distancing,13,1,-11.429959078927851,1,0,0,8.15752088773378,1,0,0.0
1251,1603,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,"To be honest, this piece of news means nothing to me. Phase 3 was said to be a green light for life to resume as per normal. But looking at this, life will still be nowhere near normal. I promise, when life does get normal it will be phase 10. (Don't get me wrong tho. I'm quite glad the govt is so strict to keep us safe)",2020-10-20 16:15:23+00:00,63,Social Distancing,67,3,-10.46815843728196,15,2,2,4.343576324590833,0,0,1.0
1252,1604,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,"Be grateful. We are doing better than other countries. Theirs spike up again and hv to lockdown again  because of not following measures, hv no safe entries and social distancing ambassadors to enforce.",2020-10-20 16:28:51+00:00,33,Social Distancing,33,2,-11.889678342293525,10,1,0,6.433233378023568,1,0,0.0
1253,1605,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,"8 people? Hardly make any difference, especially for family gatherings.",2020-10-20 12:22:00+00:00,9,Social Distancing,10,0,-11.038265123357093,1,0,0,10.458498421283293,2,0,0.0
1254,1606,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,At least we can invite more people,2020-10-20 12:31:48+00:00,7,Social Distancing,7,0,-10.003900738064623,1,0,1,41.612888760855476,4,0,0.0
1255,1609,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,Hope covid ends before CNY,2020-10-20 12:56:22+00:00,5,Social Distancing,5,0,-15.635001452350695,1,0,0,14.314157420614002,2,0,0.0
1256,1610,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,"My take thus far.moving around n observing the trends.post covid.  Just Be Careful..you owe it to yoursekf to take strict rules of mask handwash,clean clothes.clean everything avoid crowds esp potential covid carriers.you know Who. ??carry on life as usual.not normal..because thatCV is smart.it will mutate and return in a different form. Dontctake for granted its Safe..its Not. So safeguard self from all possible contacts of covid .At the end of each days give thanjs you are still alive ONE DAY AT A TIME..TOMORROW IS IN GOD S MIGHTY HAND ASK HIM FOR NERCY N STRENGTH FOR THE DAY.IF ONE HAVE TO GO,LETS GO AND LET GO AND LET GOD. ...THERE.S ETERNITY TO HAVE ABD TO HOLD. GOD IS ALWAYS NEAR THERE AND HERE .!!!",2020-10-20 13:10:07+00:00,123,Social Distancing,137,4,-14.726739398795695,15,5,2,0.3543459324453169,0,0,0.0
1257,1616,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,I dont think..people are concerned about distancing anymore. Everyone just wants to go on a vacation by now.,2020-10-20 13:22:31+00:00,19,Social Distancing,19,1,-10.407496100973496,6,0,0,14.314157420614002,2,0,0.0
1258,1617,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,Some kids here not wearing mask,2020-10-20 12:07:13+00:00,6,Social Distancing,6,0,-11.388600252342806,1,0,0,21.85377547518344,3,0,0.0
1259,1618,"Singapore may enter phase 3 of its reopening by the end of this year, should community cases remain low as the country intensifies testing and contact tracing.
Gatherings outside homes could be increased from 5 to 8 people. Similarly, 8 visitors could be allowed on home visits, allowing larger families to congregate.
Link in bio @straits_times
ðŸ“¸: Lim Yaohui
#phase3 #coronavirus #covid19 #StraitsTimes",2020-10-20 11:07:45+00:00,What the difference 5 to 8. Aya,2020-10-20 12:07:21+00:00,5,Social Distancing,7,0,-9.783609452732604,0,0,0,41.612888760855476,4,0,0.0
