,Unnamed: 0,Post Description,Post Datetime,Comments,Comment Datetime,num_words
464,687,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,The whole world will be laughing,2020-06-05 11:28:13+00:00,6
465,688,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,It works provided people obeyed and wear the gadget. They can collect them and keep them away.,2020-06-05 11:46:47+00:00,17
466,689,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,"Madness! We are citizens, not criminals. This is not Smart at all.",2020-06-05 11:53:58+00:00,12
467,692,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,Bruh now we gonna be tracked 24/7 😂😭,2020-06-05 12:24:45+00:00,6
468,693,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,"Singapore is like fascism that actually works, and democracy that doesn't really work. The ""dictators"" are the parliament and ministries, but we can vote, there is virtually no opposition, there are no radical beliefs, the laws are brutally strict. But as long as the ""dictators"" say something, we have no choice but to listen.",2020-06-05 12:46:42+00:00,53
469,695,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,Gahmen jiak pah boh sai pahng,2020-06-05 12:51:00+00:00,6
470,696,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,"Suspicion would be reasonable if they want us to download a permanent tracking app onto our smartphones, but this is a braclet they're planning to give out; i.e. a separate object from your phone altogether which you can stop wearing and dispose of once Covid-19 blows over.",2020-06-05 13:04:53+00:00,47
471,697,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,but they will be able to track every movement easily after all this. Um,2020-06-05 13:14:37+00:00,14
472,699,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,Can i say i may not feel comfortable with this?,2020-06-05 13:43:52+00:00,10
473,701,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,"No, absolutely have a problem with this.",2020-06-05 13:58:55+00:00,7
474,702,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,we're living in a black mirror episode,2020-06-05 10:49:59+00:00,6
475,703,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,I think people dun need to be concerned about the govt knowing where you go.. it's your spouses or significant other that you shud be worried about =D,2020-06-05 10:56:05+00:00,26
476,704,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,Probably got the idea from China ngl,2020-06-05 10:56:53+00:00,7
477,705,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,Rather have the NDP funpack,2020-06-05 10:57:55+00:00,5
478,706,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,Maybe just make it voluntarily.. for those who would like to take the wearable device.  Can i take two for my children?  Lol,2020-06-05 11:06:39+00:00,23
479,707,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,This is getting absurd. I'm not going to let myself be tracked 24/7,2020-06-05 11:09:53+00:00,11
480,708,"If the proposed wearable device works well, the Government may distribute it to everyone in Singapore, said Dr Vivian Balakrishnan.
The Minister-in-charge of the Smart Nation Initiative added that the move will be more inclusive and ensure everyone in the country remains protected from Covid-19.
Link in bio @straits_times
📸: Kelvin Chng
#coronavirus #covid19 #StraitsTimes #SGUnited",2020-06-05 08:38:22+00:00,Seems like a required app would be just as good.,2020-06-05 11:11:44+00:00,10
