post_id,,username,date_time,comments_raw
101580748,54297900,Ann Lim,Feb-03,"Umm... Not just the foreign workers. All from India, US, UK etc should be put on 21 days quarantine. Why the discrimination? Does the virus stay longer in a person who is poorer than one who is richer? ðŸ˜³ðŸ¤”ðŸ™„  Can viruses pick n choose? Perhaps MOH can enlighten the public,"
101580748,54297900,Nay Thar Oo,Feb-03,Take action against Burmese military leaders
101577424,91732900,Terry TC,"Sep 9, 2020",FANCIFUL names of silly strategies serving no useful purpose. It is better not to know what those people are doing. They are as useful as the earlier task force. ðŸ˜€ðŸ˜ƒ
101577424,91732900,Alan Koo,"Sep 9, 2020",So months still cannot solve the problems why donâ€™t change your useless methods which spend a lot our people money on dormitories for foreigners but not Singaporean . Why why why no body dared to question their methods 
101577424,91732900,Jen Lim C H,"Sep 10, 2020",I still can't understand why HKG can do better when enforcement of fines etc can surely help to cut down unnecessary repeat offenders!!
101577424,91732900,Yong Tan Teck,"Sep 9, 2020",Mom should assign uncover staff to investigate the spread. FW are not so easy to handle. They are smarter than u . Stay here safe n less worry. Return will never come back
101577424,91732900,Jun Yang Lee,"Sep 9, 2020",Need to separate them out further. They are still staying in too close proximity with each other.
101577424,91732900,Abilash Natesan,"Sep 9, 2020","As long the dormitories ,operator not brought to task,these will continue. Since your aultimate concern is to protect your cronies,more than the workers n citizens!!"
101577424,91732900,Tango Tang,"Sep 10, 2020","Great, feed them and pay them with no work till 2024, JOSEPHIN has tones of $$$ from us!"
101577424,91732900,Top FanChua Alvin,"Sep 9, 2020",Yes we appreciate their contributions but we shouldnâ€™t pampered them and giving five meals a day . True ??? Three  healthy meals  will  do . Their employers should take over rather than MOM as their  monthly paying are their  master employers 
101577424,91732900,Colin Lam,"Sep 9, 2020","The dormitory, are they really clear of covid-19 ?  Why are there still have cases reported"
101577424,91732900,Wei Lee Katrina Siau,"Sep 9, 2020",Make them pay for medication and isolation! They just need to congregate and thefore pass covid! If they pay they will learn!
101577424,91732900,PH Lee,"Sep 9, 2020","Any deterrence measures to ensure that the workers wear mask, maintain social distancing, sanitise and practise personal hygience? In community, we saw residents and cleaners without masks and chatting away without social distancing. They will not bother as they will not be caught anyway. If people take pictures/report the large group of people without mask at void deck or playing basketball, appear that no action will be taken and netizens will criticise the post at social media ""aiya, so busy body?!"". So is it really busy body or a REAL CONCERN ? Soon nobody will bother anymore since deterrence without active detection is like tiger without teeth. Finally to all who still walk around without mask..""Good Luck!""."
101577424,91732900,Henry Loh Hen Wang,"Sep 9, 2020",it will never never never end...why??why ?? y?..free treatment what..foc what...and think they bother...guess at least 30% of them don bother...lol...no worries what...lol...free treatment...free meals..no need to work..still got $$$ (i think)...lol...nice job in the whole world...
101577424,91732900,Luna YX Clyde,"Sep 10, 2020",Dom+ imported cases = how many ðŸ‡®ðŸ‡³nationals in sg?????? We are like ðŸ‡®ðŸ‡³ Covid relief friend.ðŸ˜¡ sg accepting more flights from India. Why ????
101577424,91732900,Robert Strange,"Sep 9, 2020","CCP needs to be eradicated along with their minions â€œThe WHOâ€ â€œThe CDCâ€ Fauci, Gates and Big Pharma!"
101577424,91732900,Panda Tse,"Sep 9, 2020",Fanciful name again ðŸ˜Ž multi layer strategies
101577424,91732900,Kelly Ng,"Sep 10, 2020","We must implement WFH permanently else it will be like dorm, wide spread."
101577424,91732900,Eddie Cheng,"Sep 10, 2020",Are we reading fake news everyday
101577424,91732900,FengGang Law,"Sep 9, 2020","If u all have learn from other countries, dont declared clear until it is really clear LOL"
101577424,91732900,James Ong,"Sep 9, 2020",So why declare clear ?
101577424,91732900,Faith Ardy,"Sep 9, 2020",Surely I am not the only one who have seen foreign workers wearing their masks on their necks.
101577424,91732900,Wen Ch,"Sep 9, 2020","Wasting time, money and resources. Stemmed the root!"
101577424,91732900,Top FanMikel Junior,"Sep 9, 2020",Trying to go short cut lah...don't underestimate Covid-19
101577424,91732900,Pujangga Tua,"Sep 9, 2020",Too many strategies...
101577424,91732900,Daniel Lowe Ckw,"Sep 9, 2020","I have reported a complaint to BCA about FWs at worksites not complying to the covid-19 rules and regulation, namely about wearing of face mask. The mask was not worn and or were worn but under the chin without covering the nose and mouth. This was about a month ago when the dorms started showing re-infected numbers after been declared cleared. Till today, I can still see the same happenings at construction sites. I have been wondering if the lady I spoke to in BCA have reported upwards to her manager or just couldn't be bordered? If she did, what have the manager done about my complain? Took bus 35 from Bedok Mall. This bus passes by a dormitory along Tanah Merah Costal road. Most of the time, I can see FWs standing outside their dorm door without social distancing and without putting on face mask. Occasionally, I can see them walking from 1 door to another and mix socializing.  So, I have expected to see that re-infections in dorms is very likely and high.  A sad encounter... with stupid people in the BCA. I could tell and felt that the lady I spoke to was not interested as she did not even asked for my particulars for me to expect BCA's feedback and actions taken.  Where are the dormitory ambassador to control and ensure proper mask wearing and socializing control in the dorms?  There is no whistle blowing contact to the correct agencies.  Maybe I should take some photos and call the police at the same time to make it an issue.  Talk so much about covid-19 numbers coming from FWs but has it improved?  There is a need to step up control and enforcement in dormitories and worksites."
101577424,91732900,Lee Moses,"Sep 11, 2020",Still gt ppls believed in wat they say...
101577424,91732900,Gita Sesh,"Sep 9, 2020",Did they all go back to work and part of the community since Aug 11th?
101577424,91732900,Allan Tan,"Sep 9, 2020","Lol, declared free but hv 45 cases daily, what a joke"
101577424,91732900,Pujangga Tua,"Sep 9, 2020",Failed
