,Post Description,Post Datetime,Comments,Comment Datetime,num_words
113,"We start vaccination for the #aviation and #maritime sectors this afternoon, at two centres: @changiairport T4 for air crew and frontline airport workers, and Raffles City Convention Centre for marine pilots, crew and frontline workers who have to go onboard ships.

This week will be an operational warm-up, where we will vaccinate small groups, to prepare for full scale operations next week. 

I will be at T4 with the CEOs of key aviation companies next Monday to explain the significance of this exercise.",2021-01-13 08:30:23+00:00,"Timely to warm up to beat the cold, cold Covid.",2021-01-13 09:52:38+00:00,10
116,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,"Nice once there, Min Ong",2020-12-23 02:51:42+00:00,5
120,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,The plane is the first in SG to get “vaccinated”😂,2020-12-23 05:25:24+00:00,10
125,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,"Amazing, view from far, the plane has the smiling look 😆",2020-12-23 09:44:12+00:00,10
131,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,"you will not be smiling, when the vaccine doesn't work on the new strain",2020-12-24 05:10:03+00:00,13
137,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,SQ is the best airline in the world!,2020-12-26 13:43:00+00:00,8
139,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,The plane is just beginning to smile,2021-02-18 11:05:24+00:00,7
142,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,😊❤️👍a happy sharky plane loaded with public good😍❤️👍,2020-12-23 00:23:11+00:00,8
145,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,You’re too cute sir!!,2020-12-23 01:15:08+00:00,5
147,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,Wow! We can see tat😬🙏🏽,2020-12-23 01:44:47+00:00,5
148,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,Reading your caption made me smile Min Ong!,2020-12-23 01:49:58+00:00,8
151,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,It looks like a happy shark. 😄,2020-12-23 02:38:42+00:00,6
158,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,@sahursart the plane memes just keep going,2020-12-22 15:56:33+00:00,6
161,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,Thanks sir! Appreciate your efforts!,2020-12-22 16:54:30+00:00,5
162,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,We are happier than the plane 😁,2020-12-22 17:06:33+00:00,6
163,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,The plane is on cloud nine.,2020-12-22 17:16:25+00:00,6
172,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,Re: The plane is happy as it smiles with a meaningful hope.,2020-12-22 15:19:05+00:00,12
173,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,"Plane is smiling, pilot is smiling, minister is smiling, people are smiling and Pfizer must also be smiling :)",2020-12-22 15:19:37+00:00,18
178,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,Thank you very much for your hard work sir,2020-12-22 15:04:19+00:00,9
179,This plane is so happy that vaccines have arrived.,2020-12-22 14:59:13+00:00,B747 Freighter. Aka the smiling plane,2020-12-22 15:04:25+00:00,5
