,Unnamed: 0,Post Description,Post Datetime,Comments,Comment Datetime,num_words
1059,2107,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"Those gg to sch, teachers, doctors, nurses, cashiers, waiters, chefs etc be like 👁💧👄💧👁 having to wear masks for the entire day",2020-08-16 11:44:09+00:00,21
1061,2110,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,but masks can hide our insecurities tho,2020-08-16 12:22:46+00:00,7
1062,2112,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"If you're so rich, alone without family and has eternal life, then go on. Don't wear your mask 😏",2020-08-16 12:47:58+00:00,16
1063,2113,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,what to do? don’t want wear mask then sit at home lor,2020-08-16 13:18:04+00:00,13
1064,2114,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"If tired of wearing mask, do kindly stay at home, that’s the best solution for now.",2020-08-16 10:05:01+00:00,17
1066,2116,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,Wearing a mask is a fashion trend now,2020-08-16 10:10:17+00:00,8
1069,2119,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,Ya...😭 Wear mask damn pain sia,2020-08-16 10:20:37+00:00,6
1072,2122,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,@straits_times yup. Correct. B4 wear mask must check etc. Disposable sometimes the string piak. Fed up. And hot scorching wherther even worst. Go toilet must on mask. Kns🤣,2020-08-16 10:25:41+00:00,26
1073,2126,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,It’s a mindset. If you care enough about your loved ones and yourself you will be responsible enough to wear a face mask.,2020-08-16 10:45:57+00:00,24
1074,2128,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"i mean its always this situation:Ok got my phone, my wallet, my bagcrap my mask",2020-08-16 11:03:11+00:00,16
1075,2129,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"Pls dont be like the USA... Its just a mask.. If nurses and doctors can wear it, so can we",2020-08-16 11:07:34+00:00,20
1078,2132,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"I think wearing a mask is good. First it prevent the spread of virus....be it covid 19 or other virus. Second it is much hygiene when comes to food, some hawkers will talk while preparing the food. Third ppl just anyhow cough or sneeze in the public. So wearing a mask is definately good.",2020-08-16 08:50:02+00:00,54
1082,2137,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,"Sacrifice is the  most important thing to do for now which is to protect ourselves and everyone by wearing  masks. If the whole  world doesn't  cooperate,  covid 19 will still be  active. These 44% r just too inconsiderate.",2020-08-16 09:37:59+00:00,35
1085,2140,"😷 Having to wear a mask is one of the most frustrating Covid-19 control measures, according to the results of a poll. ⁣
Link in bio @straits_times ⁣
#Covid19 #coronavirus #StraitsTimes",2020-08-16 07:20:08+00:00,if you tired of wearing masks you tired of living is it,2020-08-16 09:47:37+00:00,12
