Unnamed: 0,postUrl,description,commentCount,pubDate,username,postId
1431,https://www.instagram.com/p/CG9dsJOnHGl/,"There are two new cases of locally transmitted Covid-19 infection. Based on investigations so far, one is in the community, and one resides in a dormitory.

There are also seven imported cases. #linkinbio

Photo from dreamstime.com",65,2020-10-30T08:06:56.000Z,mothershipsg,2.43e+18
1433,https://www.instagram.com/p/CG9IUWKFwBB/,"Singapore Airlines has been hit pretty hard by the Covid-19 crisis — retrenchments, financial losses, and more. Our national carrier is... kind of in deep sh*t. 😟

But we cannot let it die. Here's why.",40,2020-10-30T05:01:12.000Z,mothershipsg,2.43e+18
1446,https://www.instagram.com/p/CG6uYCqH82J/,"SCDF said they had received a call for assistance at Block 201D Tampines Street 21 on Oct. 28 at about 7.10pm.

SCDF conveyed two persons to Changi General Hospital. #linkinbio

Photos from Ang Bee Tin",239,2020-10-29T06:35:01.000Z,mothershipsg,2.43e+18
1473,https://www.instagram.com/p/CG1_FuznBkF/,"The owner did not have sufficient knowledge to sterilise and rehome the cats, and she also does not have the resources to do so.

The family is receiving social support as the owner recently lost her job due to Covid-19.

She has to support her visually impaired husband and a daughter, who is now studying in primary school.

The owner mentioned that it is difficult for them to make ends meet, much less provide for their cats. #linkinbio

Photos from callmebymewmew / IG",217,2020-10-27T10:24:52.000Z,mothershipsg,2.43e+18
1493,https://www.instagram.com/p/CGzMzujHe9z/,"The new cases include one case of locally transmitted Covid-19 infection, who resided in a dormitory.

In addition, there are two imported cases. #linkinbio

Photo from Pixabay",60,2020-10-26T08:27:01.000Z,mothershipsg,2.43e+18
1578,https://www.instagram.com/p/CGkSmkAnDCg/,"At one glance: Here's what you can expect in Phase 3.

Graphic by Zheng Zhangxin.",163,2020-10-20T13:29:03.000Z,mothershipsg,2.42e+18
1607,https://www.instagram.com/p/CGef_x-nzEh/,"There are two new cases of locally transmitted Covid-19 infection. One in the community and one in a dormitory.

In addition, there are five imported cases who have been placed on Stay-Home Notice upon arrival in Singapore. #linkinbio

Photo from JurongHealth Campus / FB",24,2020-10-18T07:30:38.000Z,mothershipsg,2.42e+18
1638,https://www.instagram.com/p/CGXBHkDH_UI/,"In response to Mothership's queries, the police said that the woman was apprehended on Oct. 13, 2020 under the Mental Health Act.

She had shouted at an unrelated man inside a restaurant, allegedly pouring soup over his head.

In a confrontation with the man, she ended up spitting at him and bit his hand as well.

The video, which showed the arrest, was shared on various Facebook groups, including Singaporean politician M Ravi, who called the ""arrest"" unacceptable, remarking that it was a ""serious offence"" to handcuff someone unlawfully in public.
 #linkinbio

Photo from Ravi MRavi / FB",184,2020-10-15T09:46:08.000Z,mothershipsg,2.42e+18
1644,https://www.instagram.com/p/CGWsgrBH65l/,"BREAKING.

The details on mutually agreed Covid-19 testing requirements have yet to be ironed out. The arrangement could start as early as November. #linkinbio

Photo from Tanya Ong",188,2020-10-15T06:46:04.000Z,mothershipsg,2.42e+18
1679,https://www.instagram.com/p/CGRCICJn3qn/,"A 64 year-old male Singapore Permanent Resident, has passed away from complications due to Covid-19 infection.

He is Singapore's 28th Covid-19 death.

He was confirmed to have Covid-19 infection on Oct. 4, and had a history of hypertension.

Singapore General Hospital (SGH) has reached out to his family and is extending assistance to them. #linkinbio

Photo from Google Maps",62,2020-10-13T01:59:30.000Z,mothershipsg,2.42e+18
1753,https://www.instagram.com/p/CGAcJF1nI0n/,"""Place was great, free coffee, aircon, bodyguards and free stay up to 72 hours. Great hospitality from them, definitely will return again"". #linkinbio 

Image via Flickr.",152,2020-10-06T15:19:45.000Z,mothershipsg,2.41e+18
1766,https://www.instagram.com/p/CF_lmtMB6YC/,"In his ministerial speech on Oct. 5, DPM Heng announced further Covid-19 relief measures. In addition, the government will ""introduce a one-off additional support for newborns."" 

So... time to make baby? 👶",34,2020-10-06T07:23:46.000Z,mothershipsg,2.41e+18
