,id,conversation_id,date,time,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,link,video,reply_to,processed_tweets
101,1.271964521083568e+18,1.271964521083568e+18,2020-06-14,08:35:48,127375084.0,jason_zircatan,Jason Tan,"{'type': 'Point', 'coordinates': [1.46263315, 103.83901621]}","Safe Entry Check In (@ Jason Tan's Residence in Singapore, )  https://t.co/AEXenfLfwY",en,[],['https://www.swarmapp.com/c/ioOIRkqOqQw'],[],0.0,0.0,0.0,[],https://twitter.com/Jason_ZircaTan/status/1271964521083568129,0.0,[],"['first', 'safeentri', 'pass', 'check', 'smooth', 'sure', 'need', 'consent', 'give', 'info', 'foodi', 'market', 'gov', 'ok']"
102,1.2705916664545157e+18,1.2705916664545157e+18,2020-06-10,13:40:34,338385163.0,memphis0935,memphis,"{'type': 'Point', 'coordinates': [1.28473, 103.83245]}",Thermal Imaging Mask Recognition Long-distance Temperature Detection Staff &amp; Visitor Check in and Check out link with SafeEntry  No more Mobile via QR Code Use NRIC or Working Permit to scan ☎️ 98431612 for enquiry @…  https://t.co/pqp7c10Naa,en,[],['https://www.instagram.com/p/CBPkDX5nm2Z/?igshid=o1ufn2bws0zo'],[],0.0,0.0,0.0,[],https://twitter.com/memphis0935/status/1270591666454515716,0.0,[],"['includ', 'instructor', 'trainer', 'regul', 'venu', 'ensur', 'distanc', 'among', 'visitor']"
103,1.269458590915416e+18,1.269458590915416e+18,2020-06-07,10:38:08,9.2857132054716e+17,jleesingapore,Jlee International,,#SafeENTRY for all our loved Pupil. Facial Recognition + Infrared Thermometer Device to fight COVID-19 #SGUnited #COVID19  https://t.co/fdj0mUDmqb  https://t.co/JpxQNrClKx,en,[],[],[],0.0,1.0,1.0,"['safeentry', 'sgunited', 'covid19']",https://twitter.com/jleeSingapore/status/1269458590915416064,1.0,[],
104,1.269052433000325e+18,1.2688446443909325e+18,2020-06-06,07:44:12,68087176.0,bryanbma,Bryan Ma,,@karlieeuh It is decentralized though. Are you thinking of SafeEntry instead?,en,[],[],[],0.0,0.0,0.0,[],https://twitter.com/bryanbma/status/1269052433000325120,0.0,"[{'screen_name': 'karlieeuh', 'name': 'Opiniated Charles', 'id': '35972618'}]",
105,1.268741703759999e+18,1.268741703759999e+18,2020-06-05,11:09:28,1.2653628133141873e+18,isoconsultantsg,ISO Consultants Pte. Ltd.,"{'type': 'Point', 'coordinates': [1.27587, 103.84589]}",SafeEntry measures.  Check in &amp; Check out for contact tracing.  1. Scan via barcode 2. Select  CI / CO option 3. Enter details 4. Generate SafeEntry pass  #safeentry #covid19 #controlmeasures #sgunited @ ISO…  https://t.co/sStbIMU3Ij,en,[],['https://www.instagram.com/p/CBCayXyB8fW/?igshid=1v3xw7skpyh5g'],[],0.0,0.0,0.0,"['safeentry', 'covid19', 'controlmeasures', 'sgunited']",https://twitter.com/ISOConsultantSg/status/1268741703759998977,0.0,[],
106,1.268427987474473e+18,1.268427987474473e+18,2020-06-04,14:22:53,68087176.0,bryanbma,Bryan Ma,,"Oooh, the latest release of TraceTogether includes SafeEntry check-in as well as a count of other users detected today. Couldn't find anything in the release notes about whether it's using Apple | Google's new Exposure Notification APIs though  https://t.co/2lwskMuUY7",en,[],[],['https://pbs.twimg.com/media/EZpchyMUEAEK68q.jpg'],0.0,1.0,2.0,[],https://twitter.com/bryanbma/status/1268427987474472960,1.0,[],
107,1.2681479459894395e+18,1.2681479459894395e+18,2020-06-03,19:50:06,338385163.0,memphis0935,memphis,"{'type': 'Point', 'coordinates': [1.28473, 103.83245]}",UNIVIEW UNV CW-180 Integrated Temperature Measurement System + SafeEntry  ☎️ 98431612 for enquiry Share it to friends Whois need @ Tiong Bahru Market  https://t.co/JQw9WBshMR,en,[],['https://www.instagram.com/p/CA-MwFdndq0/?igshid=pvt52u3f8xlw'],[],0.0,0.0,0.0,[],https://twitter.com/memphis0935/status/1268147945989439488,0.0,[],
108,1.267798249521496e+18,1.267798249521496e+18,2020-06-02,20:40:31,338385163.0,memphis0935,memphis,"{'type': 'Point', 'coordinates': [1.28473, 103.83245]}",Dahua Access Control and Temperature Monitoring Terminal SafeEntry enabled via QR code ☎️ 98431612 for your enquiry @ Tiong Bahru Market  https://t.co/2sNUZ3wKDs,en,[],['https://www.instagram.com/p/CA7twVwnUBA/?igshid=1s2nu3bw80u9i'],[],0.0,0.0,0.0,[],https://twitter.com/memphis0935/status/1267798249521496064,0.0,[],
109,1.2676066699718164e+18,1.2676066699718164e+18,2020-06-02,07:59:15,574389856.0,justintanwc,Justin Tan Wen Cong,"{'type': 'Point', 'coordinates': [1.28945022, 103.81687987]}",Just scan SafeEntry for #Coronavirus contact tracing purposes as part of the safe re-opening of Singapore's wealthy economy despite Fortitude Budget is implemented in use on lots of business re-opening at a later…  https://t.co/dIIcF55OGG,en,[],['https://www.instagram.com/p/CA6WosFAKf4/?igshid=1rq9f1q4h00qp'],[],0.0,0.0,0.0,['coronavirus'],https://twitter.com/justintanwc/status/1267606669971816449,0.0,[],
110,1.2673835866526433e+18,1.2673835866526433e+18,2020-06-01,17:12:48,338385163.0,memphis0935,memphis,"{'type': 'Point', 'coordinates': [1.28473, 103.83245]}",SmartZ FaceReco+ SafeEntry enabled via QR code     ☎️ 98431612 for enquiry @ Tiong Bahru Market  https://t.co/7HtZfp408X,en,[],['https://www.instagram.com/p/CA4xMGSHkwa/?igshid=1iclrumrt15e2'],[],0.0,0.0,0.0,[],https://twitter.com/memphis0935/status/1267383586652643329,0.0,[],
