,name,comment,processed_text,demojize_text
19,nhwany,@rosdiah pulakkk dahh,"['pulakkk', 'dahh']",@rosdiah pulakkk dahh
20,myonefaith,Oppies IBs and smearers pls dun collect ! The lesser IBs and smearers outside the better !!,"['oppi', 'ib', 'smearer', 'pl', 'dun', 'collect', 'lesser', 'ib', 'smearer', 'outsid', 'better']",Oppies IBs and smearers pls dun collect ! The lesser IBs and smearers outside the better !!
21,charlotte.cjy,@crepeorcrap,[],@crepeorcrap
22,octifi_lifestyle,Great!,['great'],Great!
23,tzzheng_z,@putputsan,[],@putputsan
24,dianahudsonn,@syazblr,[],@syazblr
25,ginnasofsengkang,Must as well implant the trace together device on me,"['must', 'well', 'implant', 'trace', 'togeth', 'devic']",Must as well implant the trace together device on me
26,ghhappypurchase,then what’s the safe entry for,"['safe', 'entri']",then what’s the safe entry for
27,cardsforoccasionssg,"We have ours, ready to go 🙌","['readi', 'go']","We have ours, ready to go :raising_hands:"
28,sushi._.boyy,Black mirror vibes,"['black', 'mirror', 'vibe']",Black mirror vibes
29,yeunkeechin,@elainnie93,[],@elainnie93
30,lily.gracia1,Itu utk apa sih Drick ?,"['itu', 'utk', 'apa', 'sih', 'drick']",Itu utk apa sih Drick ?
31,e.zioauditore,why everyone so scared government track your movements all they will see me do is spend 20 days at don don donki,"['everyon', 'scare', 'govern', 'track', 'movement', 'see', 'spend', 'day', 'donki']",why everyone so scared government track your movements all they will see me do is spend 20 days at don don donki
32,hxrith_aqxl,Nah they airpods,"['nah', 'airpod']",Nah they airpods
33,asslisya,"@fuckryvn :"")",[],"@fuckryvn :"")"
34,saruben69,Hv all SPoreans been issued wit one yet?...🤔,"['hv', 'sporean', 'issu', 'wit', 'one', 'yet']",Hv all SPoreans been issued wit one yet?...:thinking_face:
35,xchang1989,Oh yea.... I like it 😍 I love to be tracked everywhere and everyday by the government so this is why I am wearing it around my neck 24/7 ❤️ I feel so safe,"['oh', 'yea', 'like', 'love', 'track', 'everywher', 'everyday', 'govern', 'wear', 'around', 'neck', 'feel', 'safe']",Oh yea.... I like it :smiling_face_with_heart-eyes: I love to be tracked everywhere and everyday by the government so this is why I am wearing it around my neck 24/7 :red_heart: I feel so safe
36,hanahparkzz,I have the token,['token'],I have the token
37,estherjaslynn,We are becoming like dogs. :(,"['becom', 'like', 'dog']",We are becoming like dogs. :(
38,lxfxxk,@wwentiing,[],@wwentiing
39,maethecrazyone_,Wtf–,[],Wtf–
40,fashionledmehere,must bring this out everytime or can use the mobile app only ? im confused lmao,"['must', 'bring', 'everytim', 'use', 'mobil', 'app', 'im', 'confus', 'lmao']",must bring this out everytime or can use the mobile app only ? im confused lmao
41,mistak3chris,"I think the gov shd have made it compulsory for bbt stores, since they are desperate for user acquisition.","['think', 'gov', 'shd', 'made', 'compulsori', 'bbt', 'store', 'sinc', 'desper', 'user', 'acquisit']","I think the gov shd have made it compulsory for bbt stores, since they are desperate for user acquisition."
42,alfiemanoj,Ya den gahmen should educate where to get it,"['ya', 'den', 'gahmen', 'educ', 'get']",Ya den gahmen should educate where to get it
43,pure4everandever,Simi sai is dis? So if I don't have apple phone I have to get a airpods to put the case in???,"['simi', 'sai', 'di', 'appl', 'phone', 'get', 'airpod', 'put', 'case']",Simi sai is dis? So if I don't have apple phone I have to get a airpods to put the case in???
44,suicidalkiddo_o,Lmao i rather watch movies at home then use government shit,"['lmao', 'rather', 'watch', 'movi', 'home', 'use', 'govern', 'shit']",Lmao i rather watch movies at home then use government shit
45,cwaynehc,Very soon gym and sports complex will need to use already,"['soon', 'gym', 'sport', 'complex', 'need', 'use', 'alreadi']",Very soon gym and sports complex will need to use already
46,a_.singh99,"New world order coming alr, dystopian future","['new', 'world', 'order', 'come', 'alr', 'dystopian', 'futur']","New world order coming alr, dystopian future"
47,lifeofryrybills,Just wait for movie to go online lah then watch 😂,"['wait', 'movi', 'go', 'onlin', 'lah', 'watch']",Just wait for movie to go online lah then watch :face_with_tears_of_joy:
48,iwaniiii,collect before mugen train @kayra.banks @reblxm_,"['collect', 'mugen', 'train']",collect before mugen train @kayra.banks @reblxm_
49,summerfamez,@ddevintan,[],@ddevintan
50,jermchen,I guess I am banned from cinemas,"['guess', 'ban', 'cinema']",I guess I am banned from cinemas
51,meh_wan_die,How to get token,"['get', 'token']",How to get token
52,jojo.jogetttt,When the gov says token compulsory to take public transport we are all fucked like George orwell,"['gov', 'say', 'token', 'compulsori', 'take', 'public', 'transport', 'fuck', 'like', 'georg', 'orwel']",When the gov says token compulsory to take public transport we are all fucked like George orwell
53,mmmm.lie,virus,['viru'],virus
54,akn1c,ok bye not going cinemas already,"['ok', 'bye', 'go', 'cinema', 'alreadi']",ok bye not going cinemas already
55,aaahhhhhhhhhhhhhhhhhhhh,no,[],no
56,neiz.ng,@kksjeron idw,['idw'],@kksjeron idw
57,horn8ge,some of the comments here... lmao. how selfish do you need to be to not have TraceTogether app/token & risk the lives of others?,"['comment', 'lmao', 'selfish', 'need', 'tracetogeth', 'risk', 'live', 'other']",some of the comments here... lmao. how selfish do you need to be to not have TraceTogether app/token & risk the lives of others?
58,ariffzkfly,Aircon are not allowed to be dropped on patrons.,"['aircon', 'allow', 'drop', 'patron']",Aircon are not allowed to be dropped on patrons.
59,bijimthegoat,Lol wtf,"['lol', 'wtf']",Lol wtf
60,belindaongyp,😑😑😑😑😑😑😑@mrasdindin,[],:expressionless_face::expressionless_face::expressionless_face::expressionless_face::expressionless_face::expressionless_face::expressionless_face:@mrasdindin
61,aerialber,Then don't watch movie. Simple. Rather not watch than do this hassle. Not as if we don't have other entertainment options. Not like for like but viable substitute.,"['watch', 'movi', 'simpl', 'rather', 'watch', 'hassl', 'entertain', 'option', 'like', 'like', 'viabl', 'substitut']",Then don't watch movie. Simple. Rather not watch than do this hassle. Not as if we don't have other entertainment options. Not like for like but viable substitute.
62,g.t.c.l9,Actually government should save money on the production to this trace together token. Only for elderly really really don’t know how to use the trace together APP. Or really younger children that don’t own a smart phone then I really find that this trace together token will be useful to this group of plp.,"['actual', 'govern', 'save', 'money', 'product', 'trace', 'togeth', 'token', 'elderli', 'realli', 'realli', 'know', 'use', 'trace', 'togeth', 'app', 'realli', 'younger', 'children', 'smart', 'phone', 'realli', 'find', 'trace', 'togeth', 'token', 'use', 'group', 'plp']",Actually government should save money on the production to this trace together token. Only for elderly really really don’t know how to use the trace together APP. Or really younger children that don’t own a smart phone then I really find that this trace together token will be useful to this group of plp.
63,nanajenojaem,Is this the newest airpods,"['newest', 'airpod']",Is this the newest airpods
64,always2074,Then boycott lor...,"['boycott', 'lor']",Then boycott lor...
65,_smol._.hands,Ah need to bring airpods?,"['ah', 'need', 'bring', 'airpod']",Ah need to bring airpods?
66,rockzgal,@clemz85,[],@clemz85
67,nirvana_9312,Fuck this,['fuck'],Fuck this
68,dannsinidann,😍,[],:smiling_face_with_heart-eyes:
69,moneymachine109,boycott the cinemas!!,"['boycott', 'cinema']",boycott the cinemas!!
70,xase6_,@juncenjun,[],@juncenjun
71,boyzan,Than Don't see movie la! Anyway no nice movie to see.,"['see', 'movi', 'la', 'anyway', 'nice', 'movi', 'see']",Than Don't see movie la! Anyway no nice movie to see.
72,vidlim,Where is human right???,"['human', 'right']",Where is human right???
73,weenenggg,@james.cjq @weiitiingg @cheongweekee rmb to plan ahead,"['rmb', 'plan', 'ahead']",@james.cjq @weiitiingg @cheongweekee rmb to plan ahead
74,kevin_00129,Majority of the blockbuster shifted to 2021 2022 anyway.. im not surprise if Wonder Women 1984 & Monster Hunter is delay again. 🤷‍♂️🤷‍♂️🤷‍♂️🤷‍♂️ cinema operator bleeding revenue,"['major', 'blockbust', 'shift', 'anyway', 'im', 'surpris', 'wonder', 'women', 'monster', 'hunter', 'delay', 'cinema', 'oper', 'bleed', 'revenu']",Majority of the blockbuster shifted to 2021 2022 anyway.. im not surprise if Wonder Women 1984 & Monster Hunter is delay again. :man_shrugging::man_shrugging::man_shrugging::man_shrugging: cinema operator bleeding revenue
