,name,comment,processed_text,demojize_text
37,rexara7077,👏👏👏,[],:clapping_hands::clapping_hands::clapping_hands:
38,brendaongmeiling,"Much prefer the current 5 pax limit. Smaller groups are less rowdy & noisy. Also when I dun wish to join some group outings, can use the 5-pax rule as an excuse.","['much', 'prefer', 'current', 'pax', 'limit', 'smaller', 'group', 'less', 'rowdi', 'noisi', 'also', 'dun', 'wish', 'join', 'group', 'outing', 'use', 'rule', 'excus']","Much prefer the current 5 pax limit. Smaller groups are less rowdy & noisy. Also when I dun wish to join some group outings, can use the 5-pax rule as an excuse."
39,btantshin,@joey_foo @aubreyblackshaw just in time,['time'],@joey_foo @aubreyblackshaw just in time
40,mytaxol,8 people??? You mean 3-4 groups of people having lunch on the same table? 🤣,"['peopl', 'mean', 'group', 'peopl', 'lunch', 'tabl']",8 people??? You mean 3-4 groups of people having lunch on the same table? :rolling_on_the_floor_laughing:
41,char_kiwi33,@borbitronic @elias_eatsncooks,[],@borbitronic @elias_eatsncooks
42,char_kiwi33,@borbitronic @elias_eatsncooks,[],@borbitronic @elias_eatsncooks
43,siteoh,🙌🙌,[],:raising_hands::raising_hands:
44,wilsonteo34,🔥🔥,[],:fire::fire:
45,syamvstheuniverse,No CNY. Yaaaaas!,"['cni', 'yaaaaa']",No CNY. Yaaaaas!
46,sataysedapnya,"If u plan this correctly, it w mean u can exploit ur Rediscovers vouchers in Phase 3... 😜","['u', 'plan', 'correctli', 'w', 'mean', 'u', 'exploit', 'ur', 'rediscov', 'voucher', 'phase']","If u plan this correctly, it w mean u can exploit ur Rediscovers vouchers in Phase 3... :winking_face_with_tongue:"
47,ellindaxx,imagine when you only have 7 friends,"['imagin', 'friend']",imagine when you only have 7 friends
0,nadiandin,Hakeleh 8 je puas hati tkya naikkan😑,"['hakeleh', 'je', 'pua', 'hati', 'tkya', 'naikkan']",Hakeleh 8 je puas hati tkya naikkan:expressionless_face:
1,thelifetimecoach,Vote them out 🇸🇬🇸🇬 ~pj thum historian,"['vote', 'thum', 'historian']",Vote them out :Singapore::Singapore: ~pj thum historian
2,_.aniqqqq._,the fact that they’d rather allow schs to open and like in a sch there are clearly more then 600 people and every is in a 1km radius so like wtf is this,"['fact', 'rather', 'allow', 'sch', 'open', 'like', 'sch', 'clearli', 'peopl', 'everi', 'radiu', 'like', 'wtf']",the fact that they’d rather allow schs to open and like in a sch there are clearly more then 600 people and every is in a 1km radius so like wtf is this
3,_.aniqqqq._,everyone*,['everyon'],everyone*
4,bryannchuaaa,Ktv can open?,"['ktv', 'open']",Ktv can open?
5,smileydreamer95,Lol in that case it’s alr been phase 3,"['lol', 'case', 'alr', 'phase']",Lol in that case it’s alr been phase 3
