,Unnamed: 0,Unnamed: 0.1,name,comment,processed_comment,emoji_decoded_comment
10,10,10,viv0823,"If one’s conscience is clear and didn’t break the law, what is there to be afraid of having the police check on the data from the token. Some people are just making a mountain out of a molehill.","['one', 'conscienc', 'clear', 'break', 'law', 'afraid', 'polic', 'check', 'data', 'token', 'peopl', 'make', 'mountain', 'molehil']","If one’s conscience is clear and didn’t break the law, what is there to be afraid of having the police check on the data from the token. Some people are just making a mountain out of a molehill."
11,11,11,blitzernyi,Why don’t we keep it after the pandemic?,"['keep', 'pandem']",Why don’t we keep it after the pandemic?
12,12,0,multidisaster_,"Some tracetogether tokens batteries ded,need go chnge","['tracetogeth', 'token', 'batteri', 'ded', 'need', 'go', 'chnge']","Some tracetogether tokens batteries ded,need go chnge"
13,13,1,wayneetermelon,wa sex,"['wa', 'sex']",wa sex
14,14,2,boboibot09,finally my parents can stop making a big fuss,"['final', 'parent', 'stop', 'make', 'big', 'fuss']",finally my parents can stop making a big fuss
15,15,3,z.ariffriff,@n.aqiqilz,[],@n.aqiqilz
16,16,4,always2074,This simply means there are already so much data collected even without checkin at individual shop! 🤣🤣🤣,"['simpli', 'mean', 'alreadi', 'much', 'data', 'collect', 'even', 'without', 'checkin', 'individu', 'shop']",This simply means there are already so much data collected even without checkin at individual shop! :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:
17,17,5,shiro_universal,That’s great! Good news! 👍🏼,"['great', 'good', 'news']",That’s great! Good news! :thumbs_up_medium-light_skin_tone:
18,18,6,jad3n_.cuz,Well there goes our part time jobs😭,"['well', 'goe', 'part', 'time', 'job']",Well there goes our part time jobs:loudly_crying_face:
19,19,7,deeecruise,D..,[],D..
20,20,8,deeecruise,🤣😆ccc.x c. Xx3 3c.c .xx . Cxxx c seconds .x . X d cc x .xd . . .c3.32,"['cxxx', 'c', 'second', 'x', 'cc', 'x']",:rolling_on_the_floor_laughing::grinning_squinting_face:ccc.x c. Xx3 3c.c .xx . Cxxx c seconds .x . X d cc x .xd . . .c3.32
21,21,9,deeecruise,Dd,['dd'],Dd
22,22,10,deeecruise,க்ஷ,[],க்ஷ
23,23,11,unstable_luk,You don't say,['say'],You don't say
24,24,12,arkarwmh,@candydonmoong,[],@candydonmoong
25,25,13,charainey,@nickcgj,[],@nickcgj
26,26,14,tanguanxu0525,FinAlly dunneed check out spam for A whole minute,"['final', 'dunne', 'check', 'spam', 'whole', 'minut']",FinAlly dunneed check out spam for A whole minute
27,27,15,iamhafizahhassan,Clock in clock out important,"['clock', 'clock', 'import']",Clock in clock out important
28,28,16,danny011166,When goin to start this?,"['goin', 'start']",When goin to start this?
29,29,17,whathe_elle,Meaning ???!? @syarifuddinazharbr,['mean'],Meaning ???!? @syarifuddinazharbr
30,30,18,_t.naaa,@shasha_aljunied,[],@shasha_aljunied
31,31,19,suweenesh,Malaysia when lol?,"['malaysia', 'lol']",Malaysia when lol?
32,32,20,jaezylyn,👍🏼,[],:thumbs_up_medium-light_skin_tone:
33,33,21,hscintillx,I just show screenshot only lmao,"['show', 'screenshot', 'lmao']",I just show screenshot only lmao
