,Post Description,Post Datetime,Comments,Comment Datetime,num_words
128,"Workers must be segregated into teams according to their different tasks, confined to designated zones, and stagger their break times. The principle, says BCA, is to minimise interaction between workers at their worksites.

Interaction between different teams or shifts even outside of work is forbidden. #linkinbio",2020-05-15 15:07:24+00:00,give them some rest lah. They are the most victims. They get the most cases. why make them get corona ?!😡,2020-05-15 16:35:42+00:00,20
129,"Workers must be segregated into teams according to their different tasks, confined to designated zones, and stagger their break times. The principle, says BCA, is to minimise interaction between workers at their worksites.

Interaction between different teams or shifts even outside of work is forbidden. #linkinbio",2020-05-15 15:07:24+00:00,Lmfao look at those 🤡 using fake acc to comment.,2020-05-15 16:54:15+00:00,9
130,"Workers must be segregated into teams according to their different tasks, confined to designated zones, and stagger their break times. The principle, says BCA, is to minimise interaction between workers at their worksites.

Interaction between different teams or shifts even outside of work is forbidden. #linkinbio",2020-05-15 15:07:24+00:00,@merrylin94 waau tukang kite bole blk kje😛 @megahmeg,2020-05-15 17:28:15+00:00,6
131,"Workers must be segregated into teams according to their different tasks, confined to designated zones, and stagger their break times. The principle, says BCA, is to minimise interaction between workers at their worksites.

Interaction between different teams or shifts even outside of work is forbidden. #linkinbio",2020-05-15 15:07:24+00:00,"Whilst at work sites, the workers can be managed to ensure safety measures are met. But, the BIG question is when they return to their dormitories, are there serious supervision of their well being and living condition? The current huge numbers of cases are from FWs due to poor supervision and bad living condition. This is a very painful and extremely costly lesson for Singapore that affects the general population at large.",2020-05-15 20:44:54+00:00,72
133,"Workers must be segregated into teams according to their different tasks, confined to designated zones, and stagger their break times. The principle, says BCA, is to minimise interaction between workers at their worksites.

Interaction between different teams or shifts even outside of work is forbidden. #linkinbio",2020-05-15 15:07:24+00:00,There no way to social distance on site work as it need a few workers to lift big  matl n install. Also by putting additional protection like face mask will endanger those who wear it. As work in  confined space will be difficult to breath.,2020-05-16 01:51:56+00:00,45
134,"Workers must be segregated into teams according to their different tasks, confined to designated zones, and stagger their break times. The principle, says BCA, is to minimise interaction between workers at their worksites.

Interaction between different teams or shifts even outside of work is forbidden. #linkinbio",2020-05-15 15:07:24+00:00,How to manage them from getting infected again ? And pls every weeks or month  test these ppl again,2020-05-16 06:21:09+00:00,18
137,"In a press conference on May 12, Director of Medical Services Kenneth Mak said that this diversification is to help ensure that Singapore has sufficient capacity for testing now, and in the future. 
In the same press conference, Minister Lawrence Wong mentioned that more than 32,000 workers in dormitories have been tested, which is about 10% of the total number of workers in the dormitories to be tested.

It was announced previously that around 8,000 tests are now conducted daily.",2020-05-12 11:52:44+00:00,We seem to be rising the ranks in the list?,2020-05-12 13:12:55+00:00,10
138,"In a press conference on May 12, Director of Medical Services Kenneth Mak said that this diversification is to help ensure that Singapore has sufficient capacity for testing now, and in the future. 
In the same press conference, Minister Lawrence Wong mentioned that more than 32,000 workers in dormitories have been tested, which is about 10% of the total number of workers in the dormitories to be tested.

It was announced previously that around 8,000 tests are now conducted daily.",2020-05-12 11:52:44+00:00,Korean testing kits are more accurate than China ones,2020-05-12 13:31:31+00:00,9
139,"In a press conference on May 12, Director of Medical Services Kenneth Mak said that this diversification is to help ensure that Singapore has sufficient capacity for testing now, and in the future. 
In the same press conference, Minister Lawrence Wong mentioned that more than 32,000 workers in dormitories have been tested, which is about 10% of the total number of workers in the dormitories to be tested.

It was announced previously that around 8,000 tests are now conducted daily.",2020-05-12 11:52:44+00:00,lol locally is better by the great Prof Jackie Ying. When you got a local based scientist why source out from China? Better to have test kits from Taiwan,2020-05-12 13:41:33+00:00,29
140,"In a press conference on May 12, Director of Medical Services Kenneth Mak said that this diversification is to help ensure that Singapore has sufficient capacity for testing now, and in the future. 
In the same press conference, Minister Lawrence Wong mentioned that more than 32,000 workers in dormitories have been tested, which is about 10% of the total number of workers in the dormitories to be tested.

It was announced previously that around 8,000 tests are now conducted daily.",2020-05-12 11:52:44+00:00,Why he wear no mask?,2020-05-12 14:20:37+00:00,5
141,"In a press conference on May 12, Director of Medical Services Kenneth Mak said that this diversification is to help ensure that Singapore has sufficient capacity for testing now, and in the future. 
In the same press conference, Minister Lawrence Wong mentioned that more than 32,000 workers in dormitories have been tested, which is about 10% of the total number of workers in the dormitories to be tested.

It was announced previously that around 8,000 tests are now conducted daily.",2020-05-12 11:52:44+00:00,Test test test.. Great job,2020-05-12 15:06:10+00:00,5
142,"In a press conference on May 12, Director of Medical Services Kenneth Mak said that this diversification is to help ensure that Singapore has sufficient capacity for testing now, and in the future. 
In the same press conference, Minister Lawrence Wong mentioned that more than 32,000 workers in dormitories have been tested, which is about 10% of the total number of workers in the dormitories to be tested.

It was announced previously that around 8,000 tests are now conducted daily.",2020-05-12 11:52:44+00:00,Pls open e mfg n f&b ndustry aft e migrants. So we cn herd inmunise n clear the next 2 big batches and then the other sectors can open up.,2020-05-12 15:09:08+00:00,30
143,"In a press conference on May 12, Director of Medical Services Kenneth Mak said that this diversification is to help ensure that Singapore has sufficient capacity for testing now, and in the future. 
In the same press conference, Minister Lawrence Wong mentioned that more than 32,000 workers in dormitories have been tested, which is about 10% of the total number of workers in the dormitories to be tested.

It was announced previously that around 8,000 tests are now conducted daily.",2020-05-12 11:52:44+00:00,"OMG! I feel so stupid. I don’t know why I spent the first minute confusing him for Gan Kim Yong and I said, “Hmmm he sounds different today. He needs more rest... He’s working too hard.”",2020-05-12 17:35:56+00:00,38
144,"In a press conference on May 12, Director of Medical Services Kenneth Mak said that this diversification is to help ensure that Singapore has sufficient capacity for testing now, and in the future. 
In the same press conference, Minister Lawrence Wong mentioned that more than 32,000 workers in dormitories have been tested, which is about 10% of the total number of workers in the dormitories to be tested.

It was announced previously that around 8,000 tests are now conducted daily.",2020-05-12 11:52:44+00:00,The number of time he says er tho,2020-05-12 19:07:59+00:00,8
145,"In a press conference on May 12, Director of Medical Services Kenneth Mak said that this diversification is to help ensure that Singapore has sufficient capacity for testing now, and in the future. 
In the same press conference, Minister Lawrence Wong mentioned that more than 32,000 workers in dormitories have been tested, which is about 10% of the total number of workers in the dormitories to be tested.

It was announced previously that around 8,000 tests are now conducted daily.",2020-05-12 11:52:44+00:00,I heard the testing kit from China suck .Spain - Coronavirus test kits withdrawn in Spain over poor accuracy rate,2020-05-12 23:47:40+00:00,19
146,"In a press conference on May 12, Director of Medical Services Kenneth Mak said that this diversification is to help ensure that Singapore has sufficient capacity for testing now, and in the future. 
In the same press conference, Minister Lawrence Wong mentioned that more than 32,000 workers in dormitories have been tested, which is about 10% of the total number of workers in the dormitories to be tested.

It was announced previously that around 8,000 tests are now conducted daily.",2020-05-12 11:52:44+00:00,Am not believing his words anymore .,2020-05-13 04:11:01+00:00,6
147,Manpower Minister Josephine Teo had this to say when NMP Anthea Ong asked if the government would apologise to foreign workers over the conditions of their dormitories.,2020-05-04 13:39:57+00:00,Why so defensive sia.. chill Jo and have a cuppa jo..,2020-05-05 11:48:55+00:00,11
148,Manpower Minister Josephine Teo had this to say when NMP Anthea Ong asked if the government would apologise to foreign workers over the conditions of their dormitories.,2020-05-04 13:39:57+00:00,"Whoever imposed that question to the government, is really immature. Period.",2020-05-05 13:47:35+00:00,11
149,Manpower Minister Josephine Teo had this to say when NMP Anthea Ong asked if the government would apologise to foreign workers over the conditions of their dormitories.,2020-05-04 13:39:57+00:00,comments section are so dumb. as a singaporean myself. 🤪 yall only can blame the government for not doing enuff~ but take a look at urself,2020-05-05 14:48:40+00:00,25
150,Manpower Minister Josephine Teo had this to say when NMP Anthea Ong asked if the government would apologise to foreign workers over the conditions of their dormitories.,2020-05-04 13:39:57+00:00,Did anyone seeing those eye bags?,2020-05-05 16:04:49+00:00,6
151,Manpower Minister Josephine Teo had this to say when NMP Anthea Ong asked if the government would apologise to foreign workers over the conditions of their dormitories.,2020-05-04 13:39:57+00:00,The comments on these posts are so entertaining,2020-05-05 17:12:57+00:00,8
152,Manpower Minister Josephine Teo had this to say when NMP Anthea Ong asked if the government would apologise to foreign workers over the conditions of their dormitories.,2020-05-04 13:39:57+00:00,"The govt priority have always been citizens and PRs. Now that those numbers are coming down, they can better focus on the foreigners",2020-05-05 23:01:31+00:00,23
153,Manpower Minister Josephine Teo had this to say when NMP Anthea Ong asked if the government would apologise to foreign workers over the conditions of their dormitories.,2020-05-04 13:39:57+00:00,Those people already live in a similar or worst condition back in their hometown. If you want to blame just do that on the companies and not the government.,2020-05-06 00:55:37+00:00,29
155,Manpower Minister Josephine Teo had this to say when NMP Anthea Ong asked if the government would apologise to foreign workers over the conditions of their dormitories.,2020-05-04 13:39:57+00:00,This is justtttt a little bit tone deaf ah. But still I thank the government for their actions! 🙏,2020-05-06 05:17:59+00:00,18
156,Manpower Minister Josephine Teo had this to say when NMP Anthea Ong asked if the government would apologise to foreign workers over the conditions of their dormitories.,2020-05-04 13:39:57+00:00,"To be fair, it’s quite a sticky situation. I feel that her answer is reasonable. Apologies should not come so easily as if it does, it looses their sincerity. The govt states that they have taken measures to meet their demands.",2020-05-06 08:14:23+00:00,42
158,Manpower Minister Josephine Teo had this to say when NMP Anthea Ong asked if the government would apologise to foreign workers over the conditions of their dormitories.,2020-05-04 13:39:57+00:00,"@joteo.ylm Quick question Mdm - if you know that you have done someone wrong, but the person is kind enough not to demand for an apology, does that mean you shouldn't?",2020-05-06 12:37:42+00:00,28
160,"As of May 3, 11:35pm, there are a total of 3.5 million Covid-19 cases worldwide.

The UK government is currently holding a Covid-19 briefing, and we will update the total number of cases in the UK in the next update.

Singapore reported 657 new cases of Covid-19, of which 10 are Singaporeans and PRs. An 86-year-old female Singaporean became the 18th person to die of the virus in Singapore, six days after being confirmed with Covid-19, on April 27. [Please see Page 2 for Singapore's Covid-19 situation.]",2020-05-03 17:50:33+00:00,you guys got school holiday also no where to go LOL,2020-05-03 17:51:13+00:00,11
161,"As of May 3, 11:35pm, there are a total of 3.5 million Covid-19 cases worldwide.

The UK government is currently holding a Covid-19 briefing, and we will update the total number of cases in the UK in the next update.

Singapore reported 657 new cases of Covid-19, of which 10 are Singaporeans and PRs. An 86-year-old female Singaporean became the 18th person to die of the virus in Singapore, six days after being confirmed with Covid-19, on April 27. [Please see Page 2 for Singapore's Covid-19 situation.]",2020-05-03 17:50:33+00:00,when we’re no longer first page 😔😔,2020-05-03 17:54:10+00:00,7
163,"As of May 3, 11:35pm, there are a total of 3.5 million Covid-19 cases worldwide.

The UK government is currently holding a Covid-19 briefing, and we will update the total number of cases in the UK in the next update.

Singapore reported 657 new cases of Covid-19, of which 10 are Singaporeans and PRs. An 86-year-old female Singaporean became the 18th person to die of the virus in Singapore, six days after being confirmed with Covid-19, on April 27. [Please see Page 2 for Singapore's Covid-19 situation.]",2020-05-03 17:50:33+00:00,Got a feeling china has a vaccine,2020-05-03 17:56:47+00:00,7
164,"As of May 3, 11:35pm, there are a total of 3.5 million Covid-19 cases worldwide.

The UK government is currently holding a Covid-19 briefing, and we will update the total number of cases in the UK in the next update.

Singapore reported 657 new cases of Covid-19, of which 10 are Singaporeans and PRs. An 86-year-old female Singaporean became the 18th person to die of the virus in Singapore, six days after being confirmed with Covid-19, on April 27. [Please see Page 2 for Singapore's Covid-19 situation.]",2020-05-03 17:50:33+00:00,let us stay on the second page 😭😭😭,2020-05-03 17:59:19+00:00,7
165,"As of May 3, 11:35pm, there are a total of 3.5 million Covid-19 cases worldwide.

The UK government is currently holding a Covid-19 briefing, and we will update the total number of cases in the UK in the next update.

Singapore reported 657 new cases of Covid-19, of which 10 are Singaporeans and PRs. An 86-year-old female Singaporean became the 18th person to die of the virus in Singapore, six days after being confirmed with Covid-19, on April 27. [Please see Page 2 for Singapore's Covid-19 situation.]",2020-05-03 17:50:33+00:00,Can’t wait for the day to hear : Covid-19 is finally gone 😞,2020-05-03 18:03:33+00:00,12
