Unnamed: 0,Unnamed: 0.1,id,date,time,Comments,hashtags,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
77,95,1.27426e+18,20/6/20,16:22:32,"Hello, Phase 2 of openings in #Singapore. 1st #pedicure in #Covid times — I had to check in with the #Singapore government #SafeEntry #contacttracing app, fill out a Declaration of Health, get temp checked+hands sanitized before they let me in. All very thorough &amp; efficient. 💪🇸🇬  https://t.co/yMAVPw7A25","['singapore', 'pedicure', 'covid', 'singapore', 'safeentry', 'contacttracing']",36,Safe Entry,39,2,-12.960080152548175,7,0,2,1.9775349355167424,0,0,0.0
78,96,1.27392e+18,19/6/20,17:47:59,"PHYSIO IN SESSION NOW!  Featuring more signages around Rehab &amp; Beyond (@gobeyondrehab), here at corecollectivesg Dempsey  #GoBeyondRehab #CoreCollectiveSG #physiotherapy #safedistancing #safeentry #rehab…  https://t.co/qilJw0Jc87","['gobeyondrehab', 'corecollectivesg', 'physiotherapy', 'safedistancing', 'safeentry', 'rehab']",14,Safe Entry,15,1,-18.49444453161894,0,0,0,1.9947780468060932,0,0,0.0
79,97,1.27374e+18,19/6/20,6:29:42,"Even tho Phase 2 have re-open, remember to take precautionary measures friends and don’t forget to do safe entry wherever you go! Be safe and wear mask at all times 😌✌🏻",[],29,Safe Entry,30,2,-12.109921160385618,7,2,1,2.8366979297969115,0,0,0.0
80,98,1.27366e+18,19/6/20,0:55:47,"#庆祝美业开工啦 Welcome Back Reopening 19/6🥳🥳🥳 Looking forward to see everyone soon   Due to the current COVID-19 situation, we require all customers to scan QR code to ensure safe entry.   Please follow us on social media👇 Fb: @mygirlsvlog.cwp Ig: @mygirlsvlog_cwp  https://t.co/rfSSv2yutk",['庆祝美业开工啦'],35,Safe Entry,37,2,-14.507445789435108,5,0,2,2.2686952236043783,0,0,0.0
81,99,1.2732e+18,17/6/20,18:27:39,I definitely feel safer given the SafeEntry and Trace Together app but then... I’m scared of the asymptomatics 😅,[],19,Safe Entry,18,1,-11.921546920662632,3,2,0,6.711954922277474,1,0,0.0
82,100,1.27251e+18,15/6/20,20:48:41,@limmingji Don’t forget to use Safe Entry,[],7,Safe Entry,6,0,-13.957723648826478,2,0,0,6.711954922277475,1,0,0.0
83,101,1.27196e+18,14/6/20,8:35:48,"Safe Entry Check In (@ Jason Tan's Residence in Singapore, )  https://t.co/AEXenfLfwY",[],8,Safe Entry,9,0,-15.815141095859504,0,0,0,6.711954922277474,1,0,0.0
84,102,1.27059e+18,10/6/20,13:40:34,Thermal Imaging Mask Recognition Long-distance Temperature Detection Staff &amp; Visitor Check in and Check out link with SafeEntry  No more Mobile via QR Code Use NRIC or Working Permit to scan ☎️ 98431612 for enquiry @…  https://t.co/pqp7c10Naa,[],31,Safe Entry,34,2,-16.790676523196055,3,2,0,1.2585487461584828,0,0,0.0
85,103,1.26946e+18,7/6/20,10:38:08,#SafeENTRY for all our loved Pupil. Facial Recognition + Infrared Thermometer Device to fight COVID-19 #SGUnited #COVID19  https://t.co/fdj0mUDmqb  https://t.co/JpxQNrClKx,"['safeentry', 'sgunited', 'covid19']",13,Safe Entry,13,1,-17.405849010548202,2,0,1,3.3157710131598908,0,0,0.0
86,104,1.26905e+18,6/6/20,7:44:12,@karlieeuh It is decentralized though. Are you thinking of SafeEntry instead?,[],10,Safe Entry,10,0,-12.480948651585171,3,0,1,17.932132139179377,2,0,0.0
87,105,1.26874e+18,5/6/20,11:09:28,SafeEntry measures.  Check in &amp; Check out for contact tracing.  1. Scan via barcode 2. Select  CI / CO option 3. Enter details 4. Generate SafeEntry pass  #safeentry #covid19 #controlmeasures #sgunited @ ISO…  https://t.co/sStbIMU3Ij,"['safeentry', 'covid19', 'controlmeasures', 'sgunited']",22,Safe Entry,27,2,-15.485287643714715,1,0,0,1.5294601465711493,0,0,0.0
88,106,1.26843e+18,4/6/20,14:22:53,"Oooh, the latest release of TraceTogether includes SafeEntry check-in as well as a count of other users detected today. Couldn't find anything in the release notes about whether it's using Apple | Google's new Exposure Notification APIs though  https://t.co/2lwskMuUY7",[],33,Safe Entry,37,2,-13.290086796834176,5,0,0,2.0357448386884514,0,0,0.0
89,107,1.26815e+18,3/6/20,19:50:06,UNIVIEW UNV CW-180 Integrated Temperature Measurement System + SafeEntry  ☎️ 98431612 for enquiry Share it to friends Whois need @ Tiong Bahru Market  https://t.co/JQw9WBshMR,[],19,Safe Entry,20,1,-18.451125887171134,2,0,0,2.079767365520587,0,0,0.0
90,108,1.2678e+18,2/6/20,20:40:31,Dahua Access Control and Temperature Monitoring Terminal SafeEntry enabled via QR code ☎️ 98431612 for your enquiry @ Tiong Bahru Market  https://t.co/2sNUZ3wKDs,[],18,Safe Entry,19,1,-17.624545754472397,1,1,1,2.079767365520588,0,0,0.0
91,109,1.26761e+18,2/6/20,7:59:15,Just scan SafeEntry for #Coronavirus contact tracing purposes as part of the safe re-opening of Singapore's wealthy economy despite Fortitude Budget is implemented in use on lots of business re-opening at a later…  https://t.co/dIIcF55OGG,['coronavirus'],29,Safe Entry,32,2,-13.560018745895556,2,0,0,2.2686952236043783,0,0,0.0
92,110,1.26738e+18,1/6/20,17:12:48,SmartZ FaceReco+ SafeEntry enabled via QR code     ☎️ 98431612 for enquiry @ Tiong Bahru Market  https://t.co/7HtZfp408X,[],12,Safe Entry,13,1,-18.961826750535124,1,0,0,3.4614944172067905,0,0,0.0
93,111,1.26524e+18,26/5/20,18:58:35,"Did you know? You can actually save the places you frequent for #safeentry, saving you the hassle of having to scan everytime? I am using Edge on android as example but this works across all browsers &amp; OS. Google…  https://t.co/phflUU9xXC",['safeentry'],37,Safe Entry,38,2,-12.414700516855271,9,1,2,2.48984317300015,0,0,0.0
94,112,1.26508e+18,26/5/20,8:24:25,"You are highly encouraged to use the SafeEntry QR Code, for check-in upon your commute. Here’s a sample of the poster, found at Jurong East Station. @ Jurong East, Singapore  https://t.co/MUZgUnPQdl",[],29,Safe Entry,29,2,-13.27956765586553,4,0,1,2.58715479894611,0,0,0.0
95,113,1.2645e+18,24/5/20,18:14:39,If anyone is monitoring the safeentry check-in/out they'd probably be wondering why I went to shengsiong 4 times and ntuc 1 time these 2 days. It's the brown sugar sea salt milk lo... No stock...,[],30,Safe Entry,36,2,-12.660559371013944,7,1,1,2.5775807142064653,0,0,0.0
96,114,1.26266e+18,19/5/20,16:35:46,I used SafeEntry today and it was seamless experience.  Works better with SingPass app instead of scanning QR code from phone camera.,[],22,Safe Entry,22,1,-12.670800423252643,4,2,0,3.9563083289692282,0,0,0.0
97,115,1.26263e+18,19/5/20,14:10:12,"Adhering to safe-distancing with alternate work bays and spilt teams in conjunction with temperature screening, SafeEntry deployment and facilities sanitation measures during this circuit breaker period to keep our clients and employees safe.  #MotorEdgevantage #SafeEntry  https://t.co/atE0uQzmCL","['motoredgevantage', 'safeentry']",32,Safe Entry,33,2,-14.271271064352563,4,1,1,1.456497285459576,0,0,0.0
