,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
2688,3197,Special account sit there till we die also cannot see the money.,17/2/21,0.35714285714285715,0.5714285714285714,0.235,0.602,0.163,-0.296,sadness
2707,3216,But our government choose NOT to.... All these medisave.. medishield.. are just to make sure when we are old... And going to die...,17/2/21,0.3,0.5444444444444444,0.0,0.905,0.095,0.3182,sadness
2717,3226,Very disappointed with the increased in petrol prices.,17/2/21,-0.9750000000000001,0.9750000000000001,0.295,0.522,0.183,-0.3167,sadness
2771,3288,"To give, cash payouts to poor, difficult.",17/2/21,-0.45,0.8,0.528,0.472,0.0,-0.6808,sadness
2851,3385,This is our view only.,8/2/21,0.0,1.0,0.0,1.0,0.0,0.0,sadness
2857,3391,"Many tricks can happen, exchange of vouchers for cash with outlets.",6/12/20,0.5,0.5,0.13,0.87,0.0,-0.128,sadness
2909,3445,"It's sad that when times are good, those on superscale salaries keep plumping themselves up exponentially, using money to grow more money.",19/6/20,0.2333333333333333,0.7000000000000001,0.119,0.769,0.112,-0.0516,sadness
2910,3446,"The rest of us have to scrimp and save, growing our savings only to beat inflation and hoping we have enough for retirement.",19/6/20,0.0,0.75,0.0,0.722,0.278,0.7717,sadness
2946,3482,"""But if any worker were to report sick or show ARI symptoms, we will immediately pull aside and isolate the worker from his room-mates, and ensure that he receives the necessary medical care.""",17/6/20,-0.2380952380952381,0.6190476190476191,0.135,0.796,0.069,-0.3612,sadness
2951,3487,All because of poor handling from the start of the crisis.,12/6/20,-0.4,0.6,0.444,0.556,0.0,-0.802,sadness
2987,3523,The prices for food always go up and higher till it's no longer affordable ?,11/6/20,0.25,0.5,0.145,0.855,0.0,-0.296,sadness
3008,3544,I have no clue but I am sure many many of us would love to know a bit more :)ðŸ™Œ will u be able to tell us ???,28/5/20,0.5,0.6591269841269841,0.05,0.659,0.291,0.8654,sadness
3017,3554,"Does he know that during this hard time, how many businesses have received lawyer letter for being unable to pay rental?",26/5/20,-0.09722222222222222,0.5138888888888888,0.132,0.868,0.0,-0.2263,sadness
3026,3563,"How about companies who retrenched their staffs, do they still get the wage subsidy for the final salary payment ðŸ¤” should not be given if they decide not to retain their employees.",26/5/20,0.0,1.0,0.0,1.0,0.0,0.0,sadness
3048,3585,Negative companies are worse off.,26/5/20,-0.35,0.5,0.694,0.306,0.0,-0.7783,sadness
3070,3607,"I have always maintained that I'm neither pro-govt nor pro-opposition, but pro-Singaporean and all these measures I believe, only seek to help Singaporeans.",26/3/20,0.0,1.0,0.0,0.849,0.151,0.5499,sadness
3118,3656,"To enable workers to keep jobs and not tax the Spore economy further, please try not to order businesses to shut.",26/3/20,0.0,0.5,0.0,0.897,0.103,0.3182,sadness
3131,3669,"In fact, I think this is more of a thunderstorm.",27/3/20,0.5,0.5,0.0,1.0,0.0,0.0,sadness
