,index,Sentences,Comment Datetime,Textblob_polarity_score,Textblob_subjectivity_score,Vader_neg_score,Vader_neu_score,Vader_pos_score,Vader_compound_score,Emotions
2787,3018,Good to fine and suspend these restaurants and cafes!,2020-07-26,0.6104166666666666,0.55,0.173,0.451,0.376,0.4003,neutral
2792,3023,We have to reinforce or have a more targeted PSA campaign for these fools,2020-07-26,0.5,0.5,0.211,0.789,0.0,-0.4939,neutral
2825,3056,There are different views.,2020-03-31,0.0,0.6,0.0,1.0,0.0,0.0,neutral
2836,3067,What are our top civil servants doing ?,2020-04-01,0.5,0.5,0.0,0.769,0.231,0.2023,neutral
2847,3078,Thank you Mr Lawrence Wong too for ur good leadership & hardwork.,2020-04-01,0.7,0.6000000000000001,0.0,0.625,0.375,0.6597,neutral
2849,3080,"*Suggestion / Feedback* for ""Enhanced Safe Distancing Measures announced by PM Lee on 3 Apr"" : NTUC FAIRPRICE SHOULD * 1.",2020-04-03,0.5,0.5,0.0,0.847,0.153,0.4404,neutral
2871,3103,Thank you Minister for your kind attention & consideration.,2020-04-03,0.6,0.9,0.0,0.504,0.496,0.7096,neutral
2880,3112,"Dear Minister, good afternoon.",2020-03-28,0.7,0.6000000000000001,0.0,0.267,0.733,0.6705,neutral
2888,3121,So today my feedback is : repeated many times.,2020-03-28,0.5,0.5,0.0,1.0,0.0,0.0,neutral
2892,3125,Was it very effective ?,2020-03-28,0.78,1.0,0.0,0.469,0.531,0.5256,neutral
2893,3126,"After so many weeks, still think it worked like SARS ?",2020-03-28,0.5,0.5,0.0,0.783,0.217,0.3612,neutral
2898,3131,China enforced this and was quite successful.,2020-03-28,0.75,0.95,0.0,0.594,0.406,0.624,neutral
2900,3133,Is it because we have not enough masks ?,2020-03-28,0.0,0.5,0.0,1.0,0.0,0.0,neutral
2910,3143,"Latest News 28 Mar (France 24 TV) : "" France has ordered from China, a billion masks"" .",2020-03-28,0.5,0.9,0.0,1.0,0.0,0.0,neutral
2917,3150,More contacts tracing.,2020-03-28,0.5,0.5,0.0,1.0,0.0,0.0,neutral
